cultivo,plaga_enfermedad,comarca_nombre,comarca_zona,comarca_zona_id,fecha_aviso,nivel_aviso
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-05-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-05-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-05-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-05-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-05-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-05-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-05-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-05-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-05-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-05-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-05-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-05-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-04-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-04-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-04-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-04-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-04-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-04-20,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-04-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-04-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-04-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2016-04-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2016-04-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2016-04-06,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-08-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-08-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-08-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-08-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-08-19,MEDIO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-08-19,MEDIO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-08-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-08-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-08-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-07-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-07-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-07-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-07-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-07-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-07-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-07-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-07-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-07-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-07-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-07-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-07-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-07-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-07-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-07-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-06-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-06-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-06-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-06-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-06-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-06-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-06-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-06-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-06-10,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-06-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-06-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-06-03,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2015-05-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2015-05-27,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2015-05-27,BAJO
